,,,,LUCAS spade sampling method,,,,,,,,,,,,Gouge auger sampling method,,,,,,,,,,,,
Sampling location,GPS_LONG,GPS_ LAT,Land cover,Soil_ID,"Clay/
g kg–1","Silt/
g kg–1","Sand/
g kg–1","Organic carbon/
g kg–1","Calcium carbonate/
g kg–1","Nitrogen/
g kg–1","Phosphorus/
mg kg–1","Potassium/
mg kg–1","pH in H2O
",pH in CaCl2,"Electrical conductivity/
mS m–1",Soil_ID,"Clay/
g kg–1","Silt/
g kg–1","Sand/
g kg–1","Organic carbon/
g kg–1","Calcium carbonate/
g kg–1","Nitrogen/
g kg–1","Phosphorus/
mg kg–1","Potassium/
mg kg–1","pH in H2O
",pH in CaCl2,"Electrical conductivity/
mS m–1",
1,8.9570,45.8766,meadow,53001,18,42,40,41.9,137,4.2,8.8,124.8,7.57,7.2,43.2,53161,21,46,33,44.7,123,4,12.7,187.8,7.6,7.4,45.2,
2,9.0079,45.8950,meadow,53002,10,37,52,25.2,0,2.9,25.9,76,4.33,3.9,28.7,53162,16,53,31,24.6,3,2.7,15.9,66.6,5.86,5.5,25.8,
3,9.1162,46.1538,deciduous forest,53003,7,32,61,41.4,0,3.1,32.5,73.3,4.51,4,21.8,53163,8,36,56,40.4,0,2.8,27.7,61.4,4.43,4.1,30.1,
4,7.7886,46.1289,meadow,53004,8,48,44,23.7,0,4.9,17.4,66.9,5.4,5.1,30,53164,9,48,43,29.5,0,6.6,23.4,71.9,5.42,5.2,46.7,
5,7.1704,46.1716,deciduous forest,53005,10,54,36,67.5,236,3.7,19.9,64.7,7.62,7.2,18.4,53165,11,62,27,75,115,4.4,21.5,90.8,7.17,6.9,24.7,
6,7.4986,46.2487,coniferous forest,53007,11,37,52,30.2,3,1.7,5.4,67,6.88,6.6,10.3,53167,13,43,43,27.6,2,1.6,4.9,63.4,6.57,6.4,10.8,
7,7.1351,46.7441,coniferous forest,53009,16,43,40,43.7,0,3.4,31,75,4.38,3.9,12.9,53169,18,47,35,35.7,0,2.7,34.6,94.5,4.32,3.9,14.9,
8,7.9722,46.7451,deciduous forest,53010,21,56,23,123.7,99,7.9,32,140.9,7.35,7.1,44.2,53170,21,59,20,123.1,162,8.2,19.2,182.2,7.07,7,48.1,
9,7.1610,46.0011,coniferous forest,53011,9,54,37,18.7,99,1.4,0,45.5,7.91,7.4,11.5,53171,10,60,30,27.2,62,1.8,6,54.9,7.39,7,17.9,
10,8.7444,46.1625,deciduous forest,53012,4,27,69,38.4,0,3.2,37.9,101.6,4.73,4.4,31.5,53172,4,25,71,42.5,1,3.6,56.4,116.4,4.61,4.3,35.7,
11,7.9626,46.3112,meadow,53013,6,53,41,55.9,127,6.1,24.4,59,7.7,7.5,81.4,53173,7,52,41,62,117,6.5,31.1,60,7.19,7.2,90.1,
12,8.7431,46.2165,meadow,53014,8,54,38,81.8,1,7.4,27.9,73.9,5.04,4.7,31.4,53174,8,52,40,94.1,0,8.6,32.6,86.2,4.77,4.5,52.5,
13,8.7027,46.2550,pasture,53015,8,48,44,105.6,0,7,25.4,121.4,4.28,4.2,59.4,53175,8,50,42,99.2,0,7.2,19.7,142.4,4.29,4.2,80.6,
14,7.7034,46.3073,meadow,53016,12,69,20,61.2,64,7.3,39.2,80,7.35,7.2,69,53176,12,70,18,65.1,64,7.8,26.9,62.3,7.16,7.1,67.7,
15,9.0017,46.2378,deciduous forest,53017,7,44,49,150.1,1,10.1,44.7,119.3,4.11,3.8,48.8,53177,9,55,37,147.2,0,10.3,52.5,141.8,4.00,3.7,54.2,
16,6.1687,46.3535,cropland,53018,22,50,28,17.2,0,2.1,31.1,170.6,6.33,6,19.8,53178,22,53,25,17.6,0,2.2,39.4,196.1,6.24,5.9,20.8,
17,6.1662,46.3895,cropland,53019,27,49,24,19.2,6,2.5,49.2,163.6,7.38,7.1,25.2,53179,27,55,18,19.3,3,2.5,50.6,188.2,7.06,6.8,20.4,
18,7.2527,46.4949,pasture,53020,22,61,17,51.8,0,5.7,32.4,106,5.49,5.2,47.3,53180,24,58,18,42.1,0,4.8,24,95.9,5.37,5.1,39.1,
19,6.2884,46.5019,meadow,53021,21,56,23,29.7,8,3.5,8.5,73.7,7.45,7.1,31.7,53181,21,56,23,26.2,6,3.1,8.3,58.3,7.02,6.9,29.9,
20,6.6773,46.5327,cropland,53022,33,49,18,17.7,1,2.5,27.4,132.2,7.08,6.8,16.4,53182,33,49,18,18.4,0,2.3,31,110.6,6.84,6.6,14.9,
21,6.4408,46.5612,cropland,53023,29,56,15,16.8,1,2.3,32,224.4,6.56,6.4,20.5,53183,31,52,17,15.7,0,2.1,30.6,166.3,6.33,6,19.2,
22,6.4420,46.5432,cropland,53024,28,46,25,15.4,2,2.1,16.3,115.1,6.65,6.4,13.5,53184,30,48,22,16.6,0,2.1,21.7,93.1,6.25,5.9,12.3,
23,6.8845,46.5568,meadow,53025,24,54,22,28.3,1,3.6,60,289.4,6.43,6.2,33.8,53185,27,53,20,25.6,0,3.2,56.8,165.4,6.13,5.9,41.7,
24,7.1177,46.5640,mixed forest,53026,19,52,29,83.5,383,6.1,19,478.8,7.44,7.3,66.6,53186,23,56,21,91.7,226,7,18.9,416.5,7.31,7.2,73.5,
25,6.8830,46.6149,meadow,53027,19,55,26,28.7,0,3.6,15.5,96.1,5.51,5.1,39.7,53187,21,57,22,29.6,0,3.8,21.4,82,5.93,5.7,44.6,
26,6.9324,46.6304,meadow,53029,20,58,22,29.1,0,3.8,31.9,477.4,5.53,5.2,54.5,53189,22,57,21,26,0,3.4,30,300,5.19,4.9,50.1,
27,7.5582,46.6464,pasture,53030,30,54,16,39.1,3,4.4,0,86.1,6.83,6.6,22.3,53190,30,56,14,43.1,3,5,0,73.8,6.43,6.2,31.2,
28,6.4620,46.6340,cropland,53031,24,45,31,16,0,2,32.8,94.8,5.02,4.7,22.3,53191,28,46,26,15.8,0,2,34.8,85.5,5.09,4.7,23.2,
29,6.7227,46.6422,meadow,53032,19,42,39,18,0,2.2,77.8,173.6,5.07,4.7,20.1,53192,22,43,35,16.8,1,2.2,78.3,131.3,4.91,4.5,19.4,
30,6.3826,46.6494,mixed forest,53033,24,51,25,96.7,0,6.5,9.5,298.5,5.73,5.5,50.6,53193,22,45,33,115,7,7.1,10,332.1,6.08,5.9,63.4,
31,6.6173,46.6570,cropland,53034,28,44,27,13.6,0,1.8,25.4,189.6,6.86,6.5,12.3,53194,28,44,28,14.1,0,1.8,32.6,144.6,6.74,6.4,13.4,
32,8.2354,46.6957,meadow,53035,9,45,45,41.8,0,5,42.1,98.3,4.84,4.6,50,53195,10,44,47,29.2,0,3.6,30.7,76.7,5.18,4.9,34.8,
33,8.2898,46.6688,pasture,53036,12,50,38,69.9,0,6.2,41.9,147.8,4.49,4,29.9,53196,13,50,37,51.2,0,4.6,27.5,92.5,4.38,4,26.5,
