#wet deposition of nh4 and no3 are approx. 15 kg N ha-1 yr-1 (Skiba et al., 2008)
nh4       no3       ch4     co2     o3      nh3     no2     no
3.0   3.0   0.0     370.0   0.0     0.0     0.0     0.0
3.0   3.0   0.0     370.0   0.0     0.0     0.0     0.0
3.0   3.0   0.0     370.0   0.0     0.0     0.0     0.0
3.0   3.0   0.0     370.0   0.0     0.0     0.0     0.0
3.0   3.0   0.0     370.0   0.0     0.0     0.0     0.0
3.0   3.0   0.0     370.0   0.0     0.0     0.0     0.0
3.0   3.0   0.0     370.0   0.0     0.0     0.0     0.0
3.0   3.0   0.0     370.0   0.0     0.0     0.0     0.0
3.0   3.0   0.0     370.0   0.0     0.0     0.0     0.0
3.0   3.0   0.0     370.0   0.0     0.0     0.0     0.0
3.0   3.0   0.0     370.0   0.0     0.0     0.0     0.0
3.0   3.0   0.0     370.0   0.0     0.0     0.0     0.0
3.0   3.0   0.0     370.0   0.0     0.0     0.0     0.0
3.0   3.0   0.0     370.0   0.0     0.0     0.0     0.0
3.0   3.0   0.0     370.0   0.0     0.0     0.0     0.0
3.0   3.0   0.0     370.0   0.0     0.0     0.0     0.0
3.0   3.0   0.0     370.0   0.0     0.0     0.0     0.0
3.0   3.0   0.0     370.0   0.0     0.0     0.0     0.0
3.0   3.0   0.0     370.0   0.0     0.0     0.0     0.0
3.0   3.0   0.0     370.0   0.0     0.0     0.0     0.0
3.0   3.0   0.0     370.0   0.0     0.0     0.0     0.0
3.0   3.0   0.0     370.0   0.0     0.0     0.0     0.0
3.0   3.0   0.0     370.0   0.0     0.0     0.0     0.0
3.0   3.0   0.0     370.0   0.0     0.0     0.0     0.0

